Beetle Host ID,Beetle Species,No. records,No. pathogen taxa,No. countries,Associated Pathogens,Associated Countries,Pathogen Record IDs
3cd970ea-0cac-81e7-bd37-c7209a5601d7,Ips typographus,253,84,15,Acinetobacter sp.; Aspergilus flavus; Aspergilus oryzae; Bacillus sphaericus; Bacillus thuringiensis; Bacillus thuringiensis var. tenebrionis; Beauveria; Beauveria bassiana; Beauveria brongniarti; Beauveria brongniartii; Beauveria caledonica; Beauveria pseudobassiana; Beauveria sp.; Bursaphelenchus eidmani; Bursaphelenchus sp.; Bursaphelenchus teratospicularis; Chytridiopsis cf. typographi; Chytridiopsis typographi; Contortylenchus diphogaster; Contortylenchus diplogaster; Contortylenchus dispar; Cryptaphelenchus bicoloris; Cryptaphelenchus macrogaster; Cryptaphelenchus macrogaster macrogaster; Diplochis omnivorus; Diplogaster hütchlii; Ektaphelenchus typographi; Entomopoxvirus; Entomopoxvirus group A; Fusarium sp.; Gregarina cf. typographi; Gregarina sp.; Gregarina spp.; Gregarina typographi; Isaria farinosa; Isaria fumosorosea; Isaria penicillatus; Isaria sp; ItEPV; Lecanicillium lecanii; Malamoeba scolyti; Mattesia cf. schwenke; Mattesia schwenkei; Mattesia sp.; Menzbieria chalcographi; Menzbieria sp.; Metapochonia bulbillosa; Metarhizium anisopliae; Metarhizium sp.; Metschnikowia cf. bicuspidata; Metschnikowia cf. typographi; Metschnikowia sp.; Metschnikowia typographi; Micoletzkya buetschlii; Nematodan; Neoparasitylenchus sp.; Nosema sp.; Nosema typographi; Paecilomyces farinosus; Panagrolaimus scheucherae; Parasitaphelenchus bicoloris; Parasitorhabditis bellifonti; Parasitorhabditis bicoloris; Parasitorhabditis obtusa; Parasitorhabditis sp.; Parasitorhabditis subelongati; Penicillium ochrochloron; Pichia sp.; Polymorphotylenchus typographi; Proteus vulgaris; Rhabditis obtusa; Rhabditolaimus halleri; Serratia liquifaciens; Telosporidium typographi; Tylenchus contortus typographi; Tylenchus dispar curvidentis; Tylenchus macrogaster; Tylenchus major; Unikaryon montanum; Verticillium lecanii; gut nematodes; nematodes; un identified entomopathogenic fungus; unidentified nematode species,Austria; Bulgaria; Czech Republic; Czech Republic; Slovakia; Europe; Finland; France; Georgia; Germany; Poland; Romania; Serbia; Slovakia; Switzerland; Turkey,"1, 28, 68, 70, 71, 72, 73, 74, 75, 76, 77, 85, 86, 87, 88, 89, 90, 91, 92, 94, 96, 97, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 160, 161, 164, 173, 174, 180, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 196, 202, 203, 204, 205, 206, 225, 231, 232, 235, 236, 237, 238, 239, 240, 241, 242, 262, 272, 273, 274, 276, 278, 280, 282, 283, 285, 334, 335, 336, 337, 344, 345, 353, 354, 355, 365, 366, 367, 368, 369, 370, 371, 388, 398, 412, 421, 422, 423, 424, 446, 447, 448, 449, 450, 451, 452, 454, 455, 466, 467, 487, 488, 489, 490, 491, 492, 499, 500, 501, 502, 510, 511, 512, 513, 582, 583, 584, 585, 586, 587, 588, 589, 590, 624, 625, 626, 627, 628, 629, 630, 631, 632, 645, 668, 669, 672, 678, 686, 692, 745, 748, 749, 750, 751, 752, 753, 754, 755, 756, 758, 759, 760, 774, 789, 805, 809, 810, 814, 815, 853, 854, 855, 856, 857, 858, 865, 866, 867, 868, 869, 870, 871, 872, 873, 874, 875, 876, 877, 879, 880, 881, 882, 883, 884, 885, 886, 887, 888, 889, 890, 891, 892, 893, 894, 895, 896, 897, 898, 904, 905, 906, 907, 908, 909, 910, 911, 912, 913, 914, 915, 916, 917, 918, 919, 920, 921, 922, 923, 924, 925, 932, 933, 934, 935, 938, 940, 941, 943, 945, 947, 949, 950, 951, 952, 953, 958, 959, 977, 978, 1014, 1015"
3cd970ea-0cac-81b5-b18d-f10167e662e3,Dendroctonus frontalis,56,34,2,"Aerobacter aerogenes; Alcaligenes faecalis; Alphelenchulus barberus; Aphthoviruses; Aspergillus favus; Aspergillus flavus; Bacillus cereus; Bacillus thuringiensis; Bacillus thuringiensis var. kenyae; Bacillus thuringiensis var. thuringiensis; Baculovirus, granulosis viruses; Baculovirus, nonoccluded rod-shaped nuclear viruses; Baculovirus, nuclear polyhedrosis viruses; Beauveria baasiana; Beauveria bassiana; Beauveria sp.; Bunyaviruses; Cardioviruses; Cephalosporium sp.; Contortylenchus brevicomi; Enteroviruses; Flacherie virus; Flavobacterium sp.; Fusarium solani; Metarhizium anisopliae; Paecilomyces sp.; Paecilomyces viridis; Pseudomonas aeruginosa; Pseudomonas fluorescens; Rhinoviruses; Scopulariopsis sp.; Serratia marcescens; Unikaryon minutum; Unknown small RNA viruses","Florida, United States; United States","4, 5, 82, 113, 264, 381, 414, 506, 507, 517, 555, 592, 593, 594, 595, 596, 597, 598, 599, 600, 601, 602, 603, 604, 605, 606, 607, 608, 609, 610, 611, 612, 613, 614, 615, 616, 617, 618, 619, 620, 621, 622, 623, 651, 652, 653, 726, 727, 728, 729, 730, 731, 732, 733, 734, 735"
3cd970ea-0cac-815a-a757-ffcc6a0735b5,Ips amitinus,45,21,7,Beauveria bassiana; Beauveria pseudobassiana; Chytridiopsis cf. typographi; Chytridiopsis sp.; Chytridiopsis typographi; Gregarina cf. typographi; Gregarina sp.; Gregarina spp.; Gregarina typographi; ItEPV; Malamoeba scolyti; Mattesia schwenkei; Mattesia sp.; Metschnikowia sp.; Metschnikowia typographi; Microsporidium sp.; Nosema cf. typographi; Unikaryon-type microsporidium; gut nematodes; similar to the ItEPV; unidentified microsporidia,Austria; Bulgaria; Czech Republic; Finland; Poland; Russia; Slovakia,"27, 40, 54, 64, 222, 223, 224, 226, 227, 228, 229, 233, 248, 249, 250, 251, 252, 263, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 338, 339, 493, 494, 495, 496, 497, 498, 655, 813, 817, 902, 903, 944, 946, 948"
3cd970ea-0cac-81b2-b8a3-d4a7253b9941,Ips sexdentatus,36,14,9,Beauveria bassiana; Beauveria pseudobassiana; Contortylenchus diplogaster; Contortylenchus pseudodiplogaster; Gregarina phyllotretae; Gregarina sp.; Gregarina typographi; Isaria farinosa; Metschnikowia cf. typographi; Metschnikowia typographi; Nematodan; Parasitaphelenchus sexdentati; Parasitaphelenchus sp.; Parasitorhabditis ipsophila,Austria; Bulgaria; Europe; France; Georgia; Latvia; Poland; Russia; Turkey,"93, 98, 159, 162, 165, 346, 397, 404, 405, 406, 407, 408, 416, 465, 468, 469, 470, 471, 472, 473, 670, 739, 743, 746, 757, 761, 773, 788, 807, 811, 816, 861, 862, 992, 993, 994"
3cd970ea-0cac-818b-bd09-d27467805361,Dendroctonus micans,31,28,1,Bacillus cereus; Bacillus mycoides; Bacillus pumilus; Bacillus thuringiensis; Beauveria bassiana; Beauveria cf. bassiana; Beauveria pseudobassiana; Beauveria sp.; Cellulomonas flavigena; Citrobacter freundii; Clonostachys rosea; Enterobacter amnigenus; Enterobacter intermedius; Evlachovaea sp.; Fusarium sp.; Isaria farinosa; Isaria fumosorosea; Lecanicillium muscarium; Mattesia sp.; Mattesia weiseri; Menzbieria chalcographi; Metarhizium anisopliae; Metarhizium pinghaense; Metarhizium robertsii; Metarhizium sp.; Metschnikowia sp.; Microbacterium liquefaciens; Nematode,Turkey,"78, 79, 80, 81, 343, 415, 647, 648, 649, 720, 721, 722, 723, 724, 725, 821, 822, 823, 824, 825, 979, 980, 981, 982, 983, 984, 985, 986, 987, 988, 989"
3cd970ea-0cac-8141-8c9c-eda2a1055c4c,Ips duplicatus,30,9,5,Beauveria bassiana; Chytridiopsis typographi; Contortylenchus amitini; Contortylenchus cylindricus; Gregarina typographi; Larssoniella duplicati; Pichia sp.; hemolymph nematodes; intestinal nematodes,Czech Republic; Poland; Romania; Slovakia; Sweden,"147, 269, 270, 271, 275, 277, 279, 281, 284, 286, 737, 864, 954, 955, 956, 957, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1009, 1010, 1011, 1012, 1013"
3cd970ea-0cac-81b6-87c6-e583eea30425,Dryocoetes autographus,27,13,6,Beauveria bassiana; Beauveria caledonica; Gregarina sp.; Gregarina typographi; Malamoeba cf. locustae; Malamoeba scolyti; Mattesia schwenkei; Mattesia sp.; Menzbieria cf. chalcographi; Nematodan; Nosema dryocoetesi; Paecilomyces variotii; unidentified microsporidia,Austria; Bulgaria; Europe; Germany; Poland; Slovenia,"25, 38, 52, 62, 132, 158, 166, 215, 216, 217, 260, 261, 352, 382, 384, 386, 395, 673, 684, 687, 690, 691, 693, 694, 695, 699, 784"
3cd970ea-0cac-81ae-b124-f43044691162,Pityogenes chalcographus,23,16,5,Beauveria bassiana; Beauveria caledonica; Chytridiopsis cf. typographi; Chytridiopsis typographi; Gregarina cf. typographi; Gregarina sp.; Gregarina typographi; Malamoeba scolyti; Mattesia cf. schwenke; Mattesia sp.; Menzbieria chalcographi; Metapochonia bulbillosa; Nematodan; Telosporidium chalcographi; Unikaryon-type microsporidium; unidentified microsporidia,Austria; Bulgaria; Europe; Germany; Slovakia,"219, 220, 221, 243, 244, 245, 246, 247, 340, 341, 342, 390, 401, 413, 679, 680, 764, 765, 777, 796, 899, 900, 901"
3cd970ea-0cac-81d9-bda0-ca455fdf65b6,Scolytus multistriatus,22,17,4,Aerobacter scolyti; Bacillus thuringiensis; Beauveria bassiana; Cordyceps militaris; Escherichia klebsiellaeformis; Hirsutella thompsonii; Metarhizium anisopliae; Nomuraea rileyi; Nosema scolyti; Paecilomyces farinosus; Paecilomyces fumoso-roseus; Parasitaphelenchus sp.; Serratia marcescens; Stempellia scolyti; Sychnotylenchus scolyti; Verticillium lecanii; bacteria,Europe; Germany; Poland; United States,"18, 31, 45, 55, 148, 149, 150, 151, 323, 324, 325, 326, 327, 328, 329, 330, 349, 476, 480, 548, 580, 666"
3cd970ea-0cac-8125-a3b0-e16e95c7e865,Xylosandrus germanus,20,12,3,Akanthomyces lecanii; Beauveria bassiana; Beauveria pseudobassiana; Clonostachys rosea; Cordyceps fumosorosea; Heterorhabditis bacteriophora; Isaria fumosorosea; Metarhizium anisopliae; Metarhizium brunneum; Purpureocillium lilacinum; Steinernema carpocapsae; Steinernema feltiae,Kyrgyzstan; Turkey; United States,"123, 124, 127, 128, 356, 357, 358, 359, 360, 425, 427, 430, 433, 437, 441, 443, 445, 849, 859, 860"
